,0
COMMONAREA_MEDI,69.87229725115525
COMMONAREA_AVG,69.87229725115525
COMMONAREA_MODE,69.87229725115525
NONLIVINGAPARTMENTS_MODE,69.43296337366793
NONLIVINGAPARTMENTS_AVG,69.43296337366793
NONLIVINGAPARTMENTS_MEDI,69.43296337366793
FONDKAPREMONT_MODE,68.38617155158677
LIVINGAPARTMENTS_MODE,68.35495315614726
LIVINGAPARTMENTS_AVG,68.35495315614726
LIVINGAPARTMENTS_MEDI,68.35495315614726
FLOORSMIN_AVG,67.84862980511267
FLOORSMIN_MODE,67.84862980511267
FLOORSMIN_MEDI,67.84862980511267
YEARS_BUILD_MEDI,66.49778381911543
YEARS_BUILD_MODE,66.49778381911543
YEARS_BUILD_AVG,66.49778381911543
OWN_CAR_AGE,65.9908100848425
LANDAREA_MEDI,59.376737742714894
LANDAREA_MODE,59.376737742714894
LANDAREA_AVG,59.376737742714894
BASEMENTAREA_MEDI,58.51595552679416
BASEMENTAREA_AVG,58.51595552679416
BASEMENTAREA_MODE,58.51595552679416
EXT_SOURCE_1,56.381072546998325
NONLIVINGAREA_MODE,55.17916432257708
NONLIVINGAREA_AVG,55.17916432257708
NONLIVINGAREA_MEDI,55.17916432257708
ELEVATORS_MEDI,53.29597965601231
ELEVATORS_AVG,53.29597965601231
ELEVATORS_MODE,53.29597965601231
